timestamp,level,message
2025-02-26 08:42:51,INFO,"2025-02-26 08:42:51,742 - INFO - Processing row 2/2 in file 11616_courtbook.csv"
2025-02-26 08:42:53,INFO,"2025-02-26 08:42:53,615 - INFO - Processing complete for 11616_courtbook.csv. Output saved to 11616_chronology.csv"
2025-02-26 08:44:57,INFO,"2025-02-26 08:44:57,021 - INFO - Processing file: 11616_courtbook.csv (missing corresponding chronology file)"
2025-02-26 08:44:57,ERROR,"2025-02-26 08:44:57,039 - ERROR - Unexpected error processing 11616_courtbook.csv: Error tokenizing data. C error: Expected 2 fields in line 4, saw 3
"
2025-02-26 08:46:00,INFO,"2025-02-26 08:46:00,771 - INFO - Processing file: 11616_courtbook.csv (missing corresponding chronology file)"
2025-02-26 08:46:00,INFO,"2025-02-26 08:46:00,771 - INFO - Processing row 1/2 in file 11616_courtbook.csv"
2025-02-26 08:46:08,INFO,"2025-02-26 08:46:08,349 - INFO - Processing row 2/2 in file 11616_courtbook.csv"
2025-02-26 08:46:32,INFO,"2025-02-26 08:46:32,912 - INFO - Processing complete for 11616_courtbook.csv. Output saved to 11616_chronology.csv"
2025-02-26 08:48:38,INFO,"2025-02-26 08:48:38,192 - INFO - Processing file: 11616_courtbook.csv (missing corresponding chronology file)"
2025-02-26 08:48:38,INFO,"2025-02-26 08:48:38,213 - INFO - Processing row 1/2 in file 11616_courtbook.csv"
2025-02-26 08:48:43,INFO,"2025-02-26 08:48:43,388 - INFO - Processing row 2/2 in file 11616_courtbook.csv"
2025-02-26 08:49:12,INFO,"2025-02-26 08:49:12,211 - INFO - Processing complete for 11616_courtbook.csv. Output saved to 11616_chronology.csv"
